# Comet ID: cmt0003
# Comet Group: Meyer
# Brightness Category: B
# Number Measurements: 23
#      DATE     TIME     FILENAME       X       Y  VMAG
 1997-10-19 18:27:57 22023494.fts 1009.97  560.57  8.60
 1997-10-19 18:55:54 22023495.fts 1002.93  595.72  7.80
 1997-10-19 19:41:34 22023496.fts  988.68  652.42  8.00
 1997-10-19 20:04:40 22023497.fts  980.14  680.81  8.90
 1997-10-19 20:19:32 22023498.fts  974.24  698.78  7.90
 1997-10-19 20:42:36 22023499.fts  964.33  726.10  8.00
 1997-10-19 20:57:34 22023500.fts  957.41  743.67  8.00
 1997-10-19 21:20:37 22023501.fts  945.91  770.10  8.00
 1997-10-19 21:35:30 22023502.fts  938.15  786.80  8.70
 1997-10-19 21:58:33 22023503.fts  924.99  812.07  8.50
 1997-10-19 22:13:27 22023504.fts  916.18  827.95  8.00
 1997-10-19 22:36:30 22023505.fts  901.48  851.72  8.40
 1997-10-19 22:51:21 22023506.fts  891.79  866.44  8.80
 1997-10-19 23:14:22 22023507.fts  875.63  888.61  8.30
 1997-10-19 23:29:13 22023508.fts  864.89  902.33  8.60
 1997-10-19 23:52:17 22023509.fts  847.15  922.79  8.00
 1997-10-20 00:07:08 22023510.fts  835.80  935.21  8.30
 1997-10-20 00:30:43 22023511.fts  817.12  953.97  8.40
 1997-10-20 00:45:34 22023512.fts  804.66  965.19  8.30
 1997-10-20 01:08:34 22022327.fts  784.63  981.65  8.00
 1997-10-20 01:23:33 22022328.fts  771.76  991.75  7.90
 1997-10-20 01:46:37 22022329.fts  751.24 1006.24  8.00
 1997-10-20 02:01:28 22022330.fts  737.59 1015.00  8.00
