# Comet ID: cmt0007
# Comet Group: Kreutz
# Brightness Category: B
# Number Measurements: 21
#      DATE     TIME     FILENAME       X       Y  VMAG
 2012-06-27 00:00:05 22420311.fts   82.42 1010.00  6.30
 2012-06-27 00:12:05 22420312.fts   84.67 1002.67  6.10
 2012-06-27 00:24:07 22420313.fts   86.50  994.75  5.90
 2012-06-27 00:36:05 22420314.fts   88.92  987.67  6.20
 2012-06-27 00:48:05 22420315.fts   91.08  979.00  6.20
 2012-06-27 01:25:45 22420316.fts   98.58  954.25  6.20
 2012-06-27 01:36:13 22420317.fts  100.67  947.33  6.20
 2012-06-27 01:48:05 22420318.fts  103.33  938.75  6.10
 2012-06-27 02:00:05 22420319.fts  105.67  930.67  6.20
 2012-06-27 02:12:05 22420320.fts  108.58  921.92  6.30
 2012-06-27 02:24:05 22420321.fts  111.58  913.42  6.20
 2012-06-27 02:36:05 22420322.fts  114.33  904.83  6.30
 2012-06-27 02:48:06 22420323.fts  117.08  896.00  6.50
 2012-06-27 03:12:08 22420327.fts  123.33  878.50  6.60
 2012-06-27 03:24:06 22420328.fts  126.67  869.42  6.60
 2012-06-27 03:36:05 22420329.fts  130.00  860.00  6.60
 2012-06-27 03:48:05 22420330.fts  133.58  850.83  6.90
 2012-06-27 04:00:05 22420331.fts  137.08  842.08  6.80
 2012-06-27 04:12:05 22420332.fts  141.17  831.58  7.20
 2012-06-27 04:24:05 22420333.fts  145.58  821.75  7.40
 2012-06-27 04:36:05 22420334.fts  149.50  811.83  7.60
