# Comet ID: cmt0030
# Comet Group: Kreutz
# Brightness Category: A
# Number Measurements: 33
#      DATE     TIME     FILENAME       X       Y  VMAG
 2019-04-24 08:00:05 22721385.fts  909.10 1018.10  2.90
 2019-04-24 08:12:06 22721386.fts  901.10 1010.50  2.80
 2019-04-24 08:36:05 22721388.fts  884.70  995.70  2.80
 2019-04-24 08:48:06 22721389.fts  876.40  988.40  2.80
 2019-04-24 09:12:10 22721393.fts  859.90  973.10  2.80
 2019-04-24 09:24:05 22721394.fts  851.60  965.60  2.90
 2019-04-24 09:36:05 22721395.fts  842.80  957.90  2.90
 2019-04-24 09:48:05 22721396.fts  834.60  950.20  2.90
 2019-04-24 10:00:06 22721397.fts  826.00  942.00  2.90
 2019-04-24 10:12:05 22721398.fts  817.40  934.40  2.90
 2019-04-24 10:24:05 22721399.fts  808.50  926.10  2.90
 2019-04-24 10:36:05 22721400.fts  799.90  917.80  3.00
 2019-04-24 10:48:05 22721401.fts  790.90  909.80  3.00
 2019-04-24 11:00:06 22721402.fts  782.10  901.10  3.00
 2019-04-24 11:12:05 22721403.fts  773.30  892.90  3.10
 2019-04-24 11:24:05 22721404.fts  763.90  884.50  3.20
 2019-04-24 11:36:05 22721405.fts  755.10  875.90  3.20
 2019-04-24 11:48:05 22721406.fts  745.50  867.20  3.30
 2019-04-24 12:00:06 22721407.fts  736.80  858.40  3.40
 2019-04-24 12:12:05 22721408.fts  727.50  849.50  3.50
 2019-04-24 12:24:05 22721409.fts  718.20  840.70  3.60
 2019-04-24 12:36:05 22721410.fts  708.80  831.70  3.70
 2019-04-24 12:48:06 22721411.fts  699.20  822.50  3.90
 2019-04-24 13:00:05 22721412.fts  689.60  813.20  4.00
 2019-04-24 13:12:05 22721413.fts  680.00  803.60  4.20
 2019-04-24 13:24:05 22721414.fts  670.20  793.80  4.40
 2019-04-24 13:36:05 22721415.fts  660.30  784.20  4.60
 2019-04-24 13:48:05 22721416.fts  650.60  774.50  5.00
 2019-04-24 14:00:05 22721417.fts  640.50  764.60  5.30
 2019-04-24 14:12:05 22721418.fts  630.10  754.20  5.50
 2019-04-24 14:24:05 22721419.fts  620.10  744.50  5.80
 2019-04-24 14:36:05 22721420.fts  609.80  733.80  6.00
 2019-04-24 14:48:05 22721421.fts  602.30  726.20  6.10
